Versa64Cart Rev. 1.3;;;;;
Bill of Material Rev. 1.30;;;;;
Pos.;Qty;Value;Footprint;Ref.-No.;Comment
1;1;121-2-01-01.3;2 Layer;PCB Rev. 1.3;2 layer, Cu 35µ, HASL, 58mm x 48.9mm, 1.6mm FR4
2;1;100n;C-2,5;C1;ceramic capacitor, pitch 2.54
3;4;10k;R-10;R1, R2, R3, R4;resistors
4;2;1N4148;DO-35;D1, D2;diodes
5;1;27C512;DIL28;IC1;EPROM. Also possible: 27C256, 27C128 and 27C64
6;1;socket;DIL28;(IC1);IC socket for the EPROM
7;1;Pinheader 3x1 pin;1x3p;J5;"2.54mm pitch (0.1"") pinheader (option: 90°)"
8;1;Pinheader 3x2 pin;2x3p;J6;"2.54mm pitch (0.1"") pinheader (option: 90°)"
9;2;Jumper 2.54mm;2.54mm;(J5), (J6);Jumper to be placed on J5 and J6
10;1;DIPSW-05V;DIPSW-05V;SW1;Standard DIP-Switch with 5 switches (switch side facing up)
11;1;JTP-1130;JTP-1130;SW2;Standard 6x6mm tact switch, e.g. Namae JTP-1130 or any other
;;;;;
;;Rev. 1.2 ® 1.3;;;
Pos;1;new board revision;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
